State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price
Uttar Pradesh,Lucknow,Lucknow APMC,Water Melon,Other,FAQ,04/02/2026,1106.88,1368.87,1224.81
Gujarat,Jamnagar,Jamnagar APMC,Banana,Other,FAQ,04/02/2026,2908.35,3906.6,3276.67
Gujarat,Rajkot,Rajkot APMC,Garlic,Other,FAQ,04/02/2026,7867.95,9124.73,8576.82
Odisha,Berhampur,Berhampur APMC,Sweet Potato,Other,FAQ,04/02/2026,1295.47,1684.43,1500.69
Maharashtra,Pune,Pune APMC,Ginger(Green),Other,Local,04/02/2026,4961.5,6249.8,5410.06
Tamil Nadu,Chennai,Chennai APMC,Tea,Other,FAQ,04/02/2026,2704.76,3729.2,3128.6
Odisha,Rourkela,Rourkela APMC,Paddy(Common),Other,Local,04/02/2026,2064.78,2560.74,2326.07
Tamil Nadu,Madurai,Madurai APMC,Cabbage,Other,FAQ,04/02/2026,1332.4,1653.08,1503.12
Gujarat,Vadodara,Vadodara APMC,Garlic,Other,Local,04/02/2026,7200.83,9874.81,8278.92
Tamil Nadu,Salem,Salem APMC,Tea,Other,FAQ,04/02/2026,2733.32,3128.32,2905.8
Karnataka,Mangalore,Mangalore APMC,Ginger(Green),Other,FAQ,04/02/2026,4715.75,5592.92,5183.2
Andhra Pradesh,Kurnool,Kurnool APMC,Banana,Other,FAQ,04/02/2026,2377.11,3136.39,2616.07
Gujarat,Jamnagar,Jamnagar APMC,Garlic,Other,FAQ,04/02/2026,7840.0,10803.89,9041.32
Gujarat,Rajkot,Rajkot APMC,Mustard,Other,Local,04/02/2026,5395.93,7477.52,6325.31
Karnataka,Hubli,Hubli APMC,Sweet Potato,Other,Local,04/02/2026,1375.7,1904.69,1604.4
Madhya Pradesh,Jabalpur,Jabalpur APMC,Potato,Other,FAQ,04/02/2026,1349.78,1590.68,1461.83
Maharashtra,Nashik,Nashik APMC,Bitter gourd,Other,FAQ,04/02/2026,3144.86,3826.05,3329.34
Odisha,Rourkela,Rourkela APMC,Coconut,Other,FAQ,04/02/2026,4426.61,5528.47,4668.11
Mizoram,Aizawl,Aizawl APMC,Grapes,Other,FAQ,04/02/2026,5003.19,5911.86,5471.69
Tamil Nadu,Trichy,Trichy APMC,Cabbage,Other,Local,04/02/2026,1202.95,1517.21,1391.18
Chhattisgarh,Korba,Korba APMC,Paddy(Common),Other,FAQ,04/02/2026,1464.63,1944.0,1705.06
Tamil Nadu,Madurai,Madurai APMC,Tea,Other,Local,04/02/2026,2449.67,2905.03,2638.99
Rajasthan,Jodhpur,Jodhpur APMC,Moth Beans,Other,Local,04/02/2026,4329.46,5118.25,4579.58
Andhra Pradesh,Tirupati,Tirupati APMC,Banana,Other,FAQ,04/02/2026,2627.71,3301.61,2843.89
Bihar,Darbhanga,Darbhanga APMC,Brinjal,Other,FAQ,04/02/2026,1744.94,2132.85,2004.24
Gujarat,Vadodara,Vadodara APMC,Mustard,Other,FAQ,04/02/2026,5354.33,6401.28,5944.75
Maharashtra,Nagpur,Nagpur APMC,Bitter gourd,Other,Local,04/02/2026,3458.33,4624.44,3861.66
Karnataka,Mysore,Mysore APMC,Sweet Potato,Other,FAQ,04/02/2026,1723.64,2063.7,1883.92
Mizoram,Lunglei,Lunglei APMC,Grapes,Other,FAQ,04/02/2026,4215.11,5545.14,4913.12
Tamil Nadu,Salem,Salem APMC,Cabbage,Other,FAQ,04/02/2026,1246.13,1503.46,1401.61
West Bengal,Kolkata,Kolkata APMC,Papaya,Other,FAQ,04/02/2026,1837.24,2240.41,2046.36
Chhattisgarh,Durg,Durg APMC,Paddy(Common),Other,FAQ,04/02/2026,1573.19,1961.39,1697.71
Tamil Nadu,Coimbatore,Coimbatore APMC,Tea,Other,FAQ,04/02/2026,2462.26,2980.0,2624.51
Andhra Pradesh,Guntur,Guntur APMC,Banana,Other,FAQ,04/02/2026,2466.92,3450.91,2887.3
Madhya Pradesh,Gwalior,Gwalior APMC,Potato,Other,Local,04/02/2026,1262.73,1562.38,1421.8
Maharashtra,Nashik,Nashik APMC,Arhar(Tur/Red Gram)(Whole),Other,FAQ,04/02/2026,6771.24,8302.64,7374.68
Gujarat,Jamnagar,Jamnagar APMC,Mustard,Other,FAQ,04/02/2026,4623.19,6034.84,5233.74
Maharashtra,Mumbai,Mumbai APMC,Bitter gourd,Other,FAQ,04/02/2026,3727.22,4567.58,4068.91
Mizoram,Saiha,Saiha APMC,Grapes,Other,FAQ,04/02/2026,5154.76,6785.26,5997.1
Karnataka,Mysore,Mysore APMC,Bitter gourd,Other,Local,04/02/2026,2954.73,3878.79,3280.36
Karnataka,Belgaum,Belgaum APMC,Cabbage,Other,FAQ,04/02/2026,1242.47,1541.16,1386.23
Rajasthan,Kota,Kota APMC,Moth Beans,Other,FAQ,04/02/2026,4894.02,5857.29,5170.73
Maharashtra,Pune,Pune APMC,Tomato,Other,Local,04/02/2026,1715.25,2078.14,1866.84
West Bengal,Kolkata,Kolkata APMC,Coconut,Other,FAQ,04/02/2026,4050.76,5152.17,4541.49
Uttar Pradesh,Meerut,Meerut APMC,Water Melon,Other,FAQ,04/02/2026,1037.3,1197.53,1120.42
Karnataka,Bangalore,Bangalore APMC,Cabbage,Other,Local,04/02/2026,1155.35,1591.76,1357.95
Gujarat,Ahmedabad,Ahmedabad APMC,Banana,Other,FAQ,04/02/2026,2693.05,3189.7,2858.14
Assam,Nagaon,Nagaon APMC,Tea,Other,Local,04/02/2026,2577.21,3238.68,2980.6
Tamil Nadu,Chennai,Chennai APMC,Bitter gourd,Other,FAQ,04/02/2026,3079.47,3464.38,3276.91
West Bengal,Siliguri,Siliguri APMC,Sweet Potato,Other,Local,04/02/2026,1686.8,2128.19,1842.53
Gujarat,Vadodara,Vadodara APMC,Brinjal,Other,Local,04/02/2026,1885.42,2397.11,2129.13
Gujarat,Ahmedabad,Ahmedabad APMC,Garlic,Other,FAQ,04/02/2026,8082.44,10022.38,8981.29
Assam,Dibrugarh,Dibrugarh APMC,Paddy(Common),Other,Local,04/02/2026,1717.13,2204.65,1995.12
Gujarat,Jamnagar,Jamnagar APMC,Potato,Other,Local,04/02/2026,1646.76,1971.65,1752.09
Andhra Pradesh,Vijayawada,Vijayawada APMC,Water Melon,Other,FAQ,04/02/2026,945.15,1126.49,1025.41
Maharashtra,Kolhapur,Kolhapur APMC,Cabbage,Other,Local,04/02/2026,1304.69,1696.29,1450.53
Maharashtra,Kolhapur,Kolhapur APMC,Banana,Other,FAQ,04/02/2026,2742.77,3354.55,3165.62
Uttar Pradesh,Agra,Agra APMC,Beans,Other,FAQ,04/02/2026,4125.98,5654.4,4718.93
Maharashtra,Nashik,Nashik APMC,Tomato,Other,FAQ,04/02/2026,1597.47,1824.72,1731.14
Assam,Jorhat,Jorhat APMC,Tea,Other,Local,04/02/2026,2506.68,3154.81,2941.53
Tamil Nadu,Coimbatore,Coimbatore APMC,Bitter gourd,Other,FAQ,04/02/2026,3419.42,4569.4,4010.07
Maharashtra,Pune,Pune APMC,Moth Beans,Other,FAQ,04/02/2026,5168.72,6299.03,5852.57
West Bengal,Asansol,Asansol APMC,Sweet Potato,Other,FAQ,04/02/2026,1573.89,2071.53,1762.68
Assam,Silchar,Silchar APMC,Paddy(Common),Other,FAQ,04/02/2026,1720.71,2174.5,1891.34
Tamil Nadu,Coimbatore,Coimbatore APMC,Papaya,Other,FAQ,04/02/2026,2100.97,2534.82,2329.72
Andhra Pradesh,Visakhapatnam,Visakhapatnam APMC,Water Melon,Other,FAQ,04/02/2026,976.37,1197.63,1137.49
Maharashtra,Mumbai,Mumbai APMC,Cabbage,Other,FAQ,04/02/2026,1522.36,1789.65,1617.05
Maharashtra,Mumbai,Mumbai APMC,Banana,Other,Local,04/02/2026,2680.6,3127.05,2907.91
Maharashtra,Nagpur,Nagpur APMC,Ginger(Green),Other,FAQ,04/02/2026,5867.0,7238.71,6610.04
Maharashtra,Nagpur,Nagpur APMC,Tomato,Other,FAQ,04/02/2026,1410.81,1821.12,1630.77
Assam,Silchar,Silchar APMC,Tea,Other,Local,04/02/2026,2517.77,3168.72,2877.07
Assam,Guwahati,Guwahati APMC,Paddy(Common),Other,FAQ,04/02/2026,2110.76,2775.35,2414.41
Tamil Nadu,Madurai,Madurai APMC,Papaya,Other,Local,04/02/2026,2289.98,2868.29,2423.23
Karnataka,Mysore,Mysore APMC,Cabbage,Other,Local,04/02/2026,1107.56,1382.48,1289.82
Karnataka,Belgaum,Belgaum APMC,Bitter gourd,Other,FAQ,04/02/2026,3507.12,4373.08,3932.48
Punjab,Jalandhar,Jalandhar APMC,Mustard,Other,Local,04/02/2026,5379.91,7169.36,6113.93
West Bengal,Durgapur,Durgapur APMC,Tea,Other,FAQ,04/02/2026,2269.15,2851.59,2535.23
Gujarat,Surat,Surat APMC,Brinjal,Other,FAQ,04/02/2026,1549.56,2121.13,1792.15
Uttar Pradesh,Kanpur,Kanpur APMC,Water Melon,Other,FAQ,04/02/2026,1077.5,1365.92,1260.48
Gujarat,Vadodara,Vadodara APMC,Banana,Other,FAQ,04/02/2026,2691.96,3427.27,2924.45
Odisha,Rourkela,Rourkela APMC,Sweet Potato,Other,FAQ,04/02/2026,1331.29,1650.16,1491.23
Tamil Nadu,Salem,Salem APMC,Papaya,Other,Local,04/02/2026,2022.17,2331.53,2218.61
Odisha,Berhampur,Berhampur APMC,Paddy(Common),Other,Local,04/02/2026,2058.79,2433.7,2183.51
Odisha,Sambalpur,Sambalpur APMC,Coconut,Other,FAQ,04/02/2026,3716.28,4999.87,4287.76
Karnataka,Hubli,Hubli APMC,Bitter gourd,Other,Local,04/02/2026,3357.06,4079.4,3553.19
Karnataka,Mangalore,Mangalore APMC,Cabbage,Other,FAQ,04/02/2026,1407.22,1583.9,1490.15
Punjab,Patiala,Patiala APMC,Mustard,Other,FAQ,04/02/2026,5877.81,7419.82,6385.89
Uttar Pradesh,Varanasi,Varanasi APMC,Water Melon,Other,Local,04/02/2026,939.67,1167.81,1020.77
Gujarat,Rajkot,Rajkot APMC,Banana,Other,Local,04/02/2026,2668.36,3122.36,2857.62
Uttar Pradesh,Lucknow,Lucknow APMC,Cauliflower,Other,FAQ,04/02/2026,1458.73,1825.86,1690.89
Madhya Pradesh,Indore,Indore APMC,Potato,Other,FAQ,04/02/2026,1474.73,1880.26,1574.66
Odisha,Cuttack,Cuttack APMC,Sweet Potato,Other,FAQ,04/02/2026,1519.1,1768.07,1615.11
Gujarat,Rajkot,Rajkot APMC,Brinjal,Other,FAQ,04/02/2026,1906.19,2200.85,2083.66
Gujarat,Surat,Surat APMC,Garlic,Other,FAQ,04/02/2026,8608.44,10059.4,9194.97
Karnataka,Mangalore,Mangalore APMC,Bitter gourd,Other,FAQ,04/02/2026,3095.23,4332.45,3619.58
Karnataka,Hubli,Hubli APMC,Cabbage,Other,FAQ,04/02/2026,1164.04,1572.1,1351.51
Uttar Pradesh,Meerut,Meerut APMC,Beans,Other,FAQ,04/02/2026,3700.2,4577.61,3907.54
Odisha,Sambalpur,Sambalpur APMC,Paddy(Common),Other,FAQ,04/02/2026,1725.96,2171.88,1828.73
Punjab,Bathinda,Bathinda APMC,Mustard,Other,FAQ,04/02/2026,5400.08,6512.48,5996.48
Maharashtra,Nashik,Nashik APMC,Ginger(Green),Other,FAQ,04/02/2026,4779.85,6560.04,5517.62
Uttar Pradesh,Agra,Agra APMC,Water Melon,Other,FAQ,04/02/2026,930.51,1210.82,1088.22
Gujarat,Surat,Surat APMC,Banana,Other,Local,04/02/2026,2495.2,2839.54,2662.79
West Bengal,Kolkata,Kolkata APMC,Tea,Other,FAQ,04/02/2026,2661.51,3174.01,2893.99
Rajasthan,Ajmer,Ajmer APMC,Moth Beans,Other,FAQ,04/02/2026,5186.18,6544.84,5470.28
Odisha,Bhubaneswar,Bhubaneswar APMC,Sweet Potato,Other,Local,04/02/2026,1450.0,1767.76,1592.84
West Bengal,Howrah,Howrah APMC,Tea,Other,FAQ,04/02/2026,2613.04,3409.17,3008.79
Tamil Nadu,Trichy,Trichy APMC,Grapes,Other,FAQ,04/02/2026,4942.42,5986.75,5461.9
Maharashtra,Nagpur,Nagpur APMC,Arhar(Tur/Red Gram)(Whole),Other,FAQ,04/02/2026,6962.27,8630.02,7427.22
Chhattisgarh,Bilaspur,Bilaspur APMC,Paddy(Common),Other,Local,04/02/2026,1745.31,1978.98,1862.52
Andhra Pradesh,Tirupati,Tirupati APMC,Coconut,Other,FAQ,04/02/2026,4314.34,5702.19,5012.93
Uttar Pradesh,Agra,Agra APMC,Mustard,Other,FAQ,04/02/2026,4822.45,5795.58,5515.23
Karnataka,Bangalore,Bangalore APMC,Grapes,Other,FAQ,04/02/2026,4463.27,5705.89,4922.71
Kerala,Thrissur,Thrissur APMC,Banana,Other,Local,04/02/2026,2821.79,3514.36,2974.83
Himachal Pradesh,Mandi,Mandi APMC,Tea,Other,Local,04/02/2026,2902.37,3472.22,3187.2
Karnataka,Bangalore,Bangalore APMC,Arhar(Tur/Red Gram)(Whole),Other,FAQ,04/02/2026,6318.23,7954.46,7097.21
Tamil Nadu,Chennai,Chennai APMC,Sweet Potato,Other,FAQ,04/02/2026,1943.45,2216.47,2075.12
Telangana,Nizamabad,Nizamabad APMC,Arhar(Tur/Red Gram)(Whole),Other,FAQ,04/02/2026,6801.41,9010.79,7555.21
Karnataka,Hubli,Hubli APMC,Bottle gourd,Other,FAQ,04/02/2026,1080.94,1339.31,1150.56
Bihar,Darbhanga,Darbhanga APMC,Cauliflower,Other,Local,04/02/2026,1639.62,2166.64,1841.8
Karnataka,Bangalore,Bangalore APMC,Ginger(Green),Other,Local,04/02/2026,5534.72,7091.84,6336.2
Bihar,Patna,Patna APMC,Paddy(Common),Other,FAQ,04/02/2026,1630.85,1975.05,1864.35
Uttar Pradesh,Meerut,Meerut APMC,Mustard,Other,Local,04/02/2026,5173.42,6279.26,5686.75
Bihar,Patna,Patna APMC,Brinjal,Other,FAQ,04/02/2026,1776.41,2221.01,1985.14
Karnataka,Mysore,Mysore APMC,Grapes,Other,FAQ,04/02/2026,5497.39,6738.29,5908.68
Kerala,Kozhikode,Kozhikode APMC,Banana,Other,FAQ,04/02/2026,3012.76,4075.25,3425.45
Himachal Pradesh,Shimla,Shimla APMC,Tea,Other,FAQ,04/02/2026,2990.67,3863.79,3349.01
Karnataka,Mangalore,Mangalore APMC,Bottle gourd,Other,FAQ,04/02/2026,1277.64,1515.13,1350.93
Bihar,Bhagalpur,Bhagalpur APMC,Cauliflower,Other,FAQ,04/02/2026,1463.11,1948.98,1691.1
West Bengal,Siliguri,Siliguri APMC,Papaya,Other,FAQ,04/02/2026,1619.67,2183.49,1867.36
Maharashtra,Kolhapur,Kolhapur APMC,Sweet Potato,Other,FAQ,04/02/2026,1665.62,2026.42,1906.51
Punjab,Amritsar,Amritsar APMC,Potato,Other,Local,04/02/2026,1441.74,1769.84,1634.43
Bihar,Gaya,Gaya APMC,Paddy(Common),Other,FAQ,04/02/2026,1841.36,2388.87,2123.41
Karnataka,Hubli,Hubli APMC,Grapes,Other,Local,04/02/2026,4483.08,5968.72,5135.07
Bihar,Muzaffarpur,Muzaffarpur APMC,Cauliflower,Other,Local,04/02/2026,1715.32,1978.44,1845.28
Kerala,Thiruvananthapuram,Thiruvananthapuram APMC,Banana,Other,FAQ,04/02/2026,3219.16,4138.53,3537.65
Uttar Pradesh,Varanasi,Varanasi APMC,Garlic,Other,FAQ,04/02/2026,6026.78,7499.58,6594.45
West Bengal,Kolkata,Kolkata APMC,Mustard,Other,Local,04/02/2026,3934.57,5216.07,4504.65
Kerala,Kollam,Kollam APMC,Tea,Other,FAQ,04/02/2026,2518.59,3143.92,2897.45
Tamil Nadu,Trichy,Trichy APMC,Paddy(Common),Other,FAQ,04/02/2026,1773.65,2201.53,2013.28
Uttar Pradesh,Agra,Agra APMC,Garlic,Other,Local,04/02/2026,7811.42,9591.04,8332.58
West Bengal,Kolkata,Kolkata APMC,Cauliflower,Other,Local,04/02/2026,1513.55,1817.52,1706.38
Karnataka,Mysore,Mysore APMC,Bottle gourd,Other,FAQ,04/02/2026,1218.37,1523.2,1348.81
West Bengal,Asansol,Asansol APMC,Cauliflower,Other,FAQ,04/02/2026,1581.64,1949.85,1715.16
Himachal Pradesh,Kullu,Kullu APMC,Tea,Other,FAQ,04/02/2026,2496.26,3113.73,2647.93
Kerala,Thiruvananthapuram,Thiruvananthapuram APMC,Papaya,Other,Local,04/02/2026,1865.06,2518.1,2111.31
Maharashtra,Nagpur,Nagpur APMC,Grapes,Other,FAQ,04/02/2026,5436.17,6959.87,6389.9
Bihar,Gaya,Gaya APMC,Banana,Other,FAQ,04/02/2026,2200.79,2713.19,2414.2
Tamil Nadu,Salem,Salem APMC,Sweet Potato,Other,Local,04/02/2026,1631.33,1878.76,1726.93
Uttar Pradesh,Meerut,Meerut APMC,Garlic,Other,Local,04/02/2026,5968.96,7648.56,6704.83
Andhra Pradesh,Guntur,Guntur APMC,Coconut,Other,FAQ,04/02/2026,3714.23,4609.1,4167.11
Tamil Nadu,Madurai,Madurai APMC,Paddy(Common),Other,FAQ,04/02/2026,2241.46,2718.97,2453.45
Karnataka,Mysore,Mysore APMC,Arhar(Tur/Red Gram)(Whole),Other,FAQ,04/02/2026,5665.18,7523.86,6525.47
Tamil Nadu,Trichy,Trichy APMC,Bottle gourd,Other,Local,04/02/2026,1239.31,1542.54,1349.7
West Bengal,Durgapur,Durgapur APMC,Cauliflower,Other,Local,04/02/2026,1680.53,2154.21,1858.7
Uttar Pradesh,Kanpur,Kanpur APMC,Mustard,Other,FAQ,04/02/2026,4714.96,5531.24,5035.01
Himachal Pradesh,Dharamshala,Dharamshala APMC,Tea,Other,FAQ,04/02/2026,2896.42,3320.34,3050.79
Andhra Pradesh,Kurnool,Kurnool APMC,Coconut,Other,FAQ,04/02/2026,4028.6,4958.32,4443.64
Telangana,Warangal,Warangal APMC,Arhar(Tur/Red Gram)(Whole),Other,Local,04/02/2026,5874.49,6719.18,6384.15
Bihar,Patna,Patna APMC,Banana,Other,FAQ,04/02/2026,2078.19,2571.73,2191.05
Kerala,Kollam,Kollam APMC,Ginger(Green),Other,FAQ,04/02/2026,6529.92,7411.54,7048.73
Tamil Nadu,Madurai,Madurai APMC,Sweet Potato,Other,FAQ,04/02/2026,1417.55,1905.07,1647.89
Tamil Nadu,Salem,Salem APMC,Paddy(Common),Other,FAQ,04/02/2026,2237.24,2927.29,2508.27
Karnataka,Bangalore,Bangalore APMC,Bottle gourd,Other,FAQ,04/02/2026,1072.26,1431.01,1249.53
West Bengal,Howrah,Howrah APMC,Cauliflower,Other,Local,04/02/2026,1340.26,1699.83,1526.9
Odisha,Sambalpur,Sambalpur APMC,Brinjal,Other,FAQ,04/02/2026,1801.51,2153.26,1913.33
Uttar Pradesh,Varanasi,Varanasi APMC,Mustard,Other,FAQ,04/02/2026,4722.89,6123.37,5433.87
Maharashtra,Kolhapur,Kolhapur APMC,Grapes,Other,Local,04/02/2026,5525.55,6568.96,6036.37
Kerala,Kollam,Kollam APMC,Banana,Other,FAQ,04/02/2026,2715.95,3285.04,3118.13
Himachal Pradesh,Solan,Solan APMC,Tea,Other,FAQ,04/02/2026,2502.14,2858.35,2641.61
Kerala,Kochi,Kochi APMC,Papaya,Other,FAQ,04/02/2026,2048.3,2446.49,2242.78
Tamil Nadu,Coimbatore,Coimbatore APMC,Sweet Potato,Other,Local,04/02/2026,1547.0,1980.65,1688.86
Punjab,Jalandhar,Jalandhar APMC,Potato,Other,FAQ,04/02/2026,1681.77,2154.14,1826.28
Maharashtra,Mumbai,Mumbai APMC,Grapes,Other,Local,04/02/2026,6101.42,7616.49,6539.27
Tamil Nadu,Salem,Salem APMC,Bottle gourd,Other,FAQ,04/02/2026,1008.55,1146.12,1084.49
Karnataka,Belgaum,Belgaum APMC,Bottle gourd,Other,FAQ,04/02/2026,1244.66,1389.38,1311.6
Maharashtra,Kolhapur,Kolhapur APMC,Arhar(Tur/Red Gram)(Whole),Other,FAQ,04/02/2026,5763.47,7391.16,6577.68
Uttar Pradesh,Agra,Agra APMC,Cauliflower,Other,FAQ,04/02/2026,1675.36,1885.21,1771.57
West Bengal,Siliguri,Siliguri APMC,Mustard,Other,Local,04/02/2026,4942.85,6417.28,5649.42
Karnataka,Hubli,Hubli APMC,Banana,Other,FAQ,04/02/2026,2936.44,3796.97,3203.46
Maharashtra,Pune,Pune APMC,Sweet Potato,Other,Local,04/02/2026,2000.3,2300.89,2117.91
West Bengal,Durgapur,Durgapur APMC,Papaya,Other,Local,04/02/2026,1701.31,2170.08,1957.5
Karnataka,Hubli,Hubli APMC,Ginger(Green),Other,FAQ,04/02/2026,5906.28,7876.22,6856.1
Chhattisgarh,Raipur,Raipur APMC,Paddy(Common),Other,Local,04/02/2026,2045.66,2554.61,2195.52
Maharashtra,Mumbai,Mumbai APMC,Bottle gourd,Other,Local,04/02/2026,1299.94,1596.89,1375.66
Kerala,Kochi,Kochi APMC,Tea,Other,FAQ,04/02/2026,2947.12,3340.2,3179.68
Tamil Nadu,Madurai,Madurai APMC,Grapes,Other,FAQ,04/02/2026,4670.03,5786.89,5422.89
Uttar Pradesh,Varanasi,Varanasi APMC,Cauliflower,Other,FAQ,04/02/2026,1355.59,1822.97,1552.07
Uttar Pradesh,Lucknow,Lucknow APMC,Garlic,Other,Local,04/02/2026,7132.2,9555.74,8189.44
Madhya Pradesh,Ujjain,Ujjain APMC,Potato,Other,Local,04/02/2026,1290.97,1603.06,1515.03
Gujarat,Ahmedabad,Ahmedabad APMC,Mustard,Other,Local,04/02/2026,4428.79,5685.07,5058.32
Karnataka,Mysore,Mysore APMC,Banana,Other,FAQ,04/02/2026,2233.22,2898.61,2604.27
Karnataka,Belgaum,Belgaum APMC,Sweet Potato,Other,Local,04/02/2026,1813.14,2120.75,1926.99
Odisha,Cuttack,Cuttack APMC,Coconut,Other,FAQ,04/02/2026,3932.08,4621.05,4384.4
Chhattisgarh,Bhilai,Bhilai APMC,Paddy(Common),Other,FAQ,04/02/2026,1528.79,1919.82,1726.49
Rajasthan,Jaipur,Jaipur APMC,Moth Beans,Other,FAQ,04/02/2026,4473.81,5816.93,5227.34
Maharashtra,Kolhapur,Kolhapur APMC,Bottle gourd,Other,FAQ,04/02/2026,1006.92,1260.11,1151.92
Tamil Nadu,Salem,Salem APMC,Grapes,Other,FAQ,04/02/2026,5424.09,6852.76,5853.7
Uttar Pradesh,Kanpur,Kanpur APMC,Cauliflower,Other,FAQ,04/02/2026,1294.16,1686.75,1493.84
Tamil Nadu,Trichy,Trichy APMC,Tea,Other,FAQ,04/02/2026,2643.49,3181.2,2791.46
Bihar,Bhagalpur,Bhagalpur APMC,Brinjal,Other,Local,04/02/2026,1534.87,1894.16,1725.8
Karnataka,Bangalore,Bangalore APMC,Banana,Other,FAQ,04/02/2026,2857.93,3456.77,3202.73
Gujarat,Surat,Surat APMC,Mustard,Other,FAQ,04/02/2026,5154.19,6207.74,5671.64
Karnataka,Mangalore,Mangalore APMC,Sweet Potato,Other,FAQ,04/02/2026,1643.12,2104.93,1783.3
West Bengal,Howrah,Howrah APMC,Papaya,Other,FAQ,04/02/2026,1671.71,2114.39,1941.53
Maharashtra,Pune,Pune APMC,Bitter gourd,Other,FAQ,04/02/2026,3549.69,4668.9,3953.2
Tamil Nadu,Coimbatore,Coimbatore APMC,Grapes,Other,Local,04/02/2026,4798.34,5692.2,5146.92
Bihar,Muzaffarpur,Muzaffarpur APMC,Brinjal,Other,FAQ,04/02/2026,1653.15,2091.6,1833.88
Kerala,Thiruvananthapuram,Thiruvananthapuram APMC,Tea,Other,Local,04/02/2026,3171.63,3775.48,3454.13
Maharashtra,Nagpur,Nagpur APMC,Bottle gourd,Other,FAQ,04/02/2026,1170.54,1410.55,1267.8
Telangana,Karimnagar,Karimnagar APMC,Arhar(Tur/Red Gram)(Whole),Other,FAQ,04/02/2026,5385.66,6755.5,5687.4
Bihar,Muzaffarpur,Muzaffarpur APMC,Paddy(Common),Other,FAQ,04/02/2026,1670.09,1966.78,1816.37
Karnataka,Mangalore,Mangalore APMC,Grapes,Other,FAQ,04/02/2026,4359.35,5212.9,4850.17
Bihar,Gaya,Gaya APMC,Cauliflower,Other,Local,04/02/2026,1613.39,1974.04,1795.91
Kerala,Kochi,Kochi APMC,Banana,Other,FAQ,04/02/2026,2591.54,3329.55,2894.77
Bihar,Gaya,Gaya APMC,Brinjal,Other,FAQ,04/02/2026,1673.86,2111.13,1960.42
West Bengal,Howrah,Howrah APMC,Mustard,Other,FAQ,04/02/2026,4433.71,5558.25,5108.53
Maharashtra,Pune,Pune APMC,Bottle gourd,Other,FAQ,04/02/2026,1053.29,1430.62,1235.57
Kerala,Thrissur,Thrissur APMC,Tea,Other,FAQ,04/02/2026,3090.51,3532.1,3268.69
Maharashtra,Nagpur,Nagpur APMC,Sweet Potato,Other,FAQ,04/02/2026,1812.53,2254.86,1921.56
West Bengal,Asansol,Asansol APMC,Papaya,Other,FAQ,04/02/2026,1683.5,2240.52,1970.36
Karnataka,Mysore,Mysore APMC,Ginger(Green),Other,FAQ,04/02/2026,6184.87,7523.99,6620.63
Karnataka,Belgaum,Belgaum APMC,Grapes,Other,FAQ,04/02/2026,5017.41,6236.94,5697.46
Bihar,Patna,Patna APMC,Cauliflower,Other,FAQ,04/02/2026,1347.5,1560.16,1471.1
Maharashtra,Mumbai,Mumbai APMC,Sweet Potato,Other,FAQ,04/02/2026,1808.76,2265.96,2119.72
Karnataka,Belgaum,Belgaum APMC,Banana,Other,FAQ,04/02/2026,2562.1,3425.88,2924.49
Bihar,Bhagalpur,Bhagalpur APMC,Paddy(Common),Other,Local,04/02/2026,2093.15,2562.88,2230.81
West Bengal,Durgapur,Durgapur APMC,Mustard,Other,FAQ,04/02/2026,5291.88,6218.8,5897.68
Uttar Pradesh,Kanpur,Kanpur APMC,Garlic,Other,FAQ,04/02/2026,7712.73,9015.72,8253.44
Maharashtra,Nashik,Nashik APMC,Bottle gourd,Other,Local,04/02/2026,1012.43,1212.11,1091.32
Kerala,Kozhikode,Kozhikode APMC,Tea,Other,Local,04/02/2026,2351.11,3237.07,2722.67
Odisha,Bhubaneswar,Bhubaneswar APMC,Coconut,Other,FAQ,04/02/2026,4187.65,5362.38,4493.33
Tamil Nadu,Chennai,Chennai APMC,Grapes,Other,FAQ,04/02/2026,5472.02,6564.98,6064.05
Uttar Pradesh,Meerut,Meerut APMC,Cauliflower,Other,FAQ,04/02/2026,1678.27,1982.81,1866.92
Maharashtra,Nashik,Nashik APMC,Sweet Potato,Other,FAQ,04/02/2026,1680.78,2060.71,1887.99
Karnataka,Mangalore,Mangalore APMC,Banana,Other,FAQ,04/02/2026,2571.33,3388.69,2827.4
Telangana,Khammam,Khammam APMC,Arhar(Tur/Red Gram)(Whole),Other,Local,04/02/2026,5460.14,6348.41,5808.68
Bihar,Darbhanga,Darbhanga APMC,Paddy(Common),Other,Local,04/02/2026,1902.76,2381.0,2036.11
West Bengal,Asansol,Asansol APMC,Mustard,Other,FAQ,04/02/2026,4423.25,5669.65,5038.67
Maharashtra,Mumbai,Mumbai APMC,Arhar(Tur/Red Gram)(Whole),Other,FAQ,04/02/2026,6508.37,7793.97,7300.01
Punjab,Ludhiana,Ludhiana APMC,Potato,Other,FAQ,04/02/2026,1578.45,1973.07,1746.74
West Bengal,Kolkata,Kolkata APMC,Potato,Other,Local,04/02/2026,1461.19,1861.13,1659.85
Tamil Nadu,Madurai,Madurai APMC,Coconut,Other,FAQ,04/02/2026,3661.39,4503.1,4016.53
Haryana,Hisar,Hisar APMC,Carrot,Other,FAQ,04/02/2026,2179.97,2893.66,2542.11
