n_soil,p_soil,k_soil,temperature,humidity,ph,rainfall,state,crop,yield_t_ha
69.7,47.6,44.7,27.3,65.6,5.29,916.7,Uttar Pradesh,ginger,11.5
39.1,54.0,38.5,27.1,48.0,7.01,994.1,Uttar Pradesh,ginger,11.5
71.1,30.2,32.3,27.7,54.4,6.72,575.9,Uttar Pradesh,ginger,11.5
50.2,61.6,44.4,27.5,75.9,5.33,777.7,Uttar Pradesh,ginger,11.5
52.0,50.3,48.8,24.4,68.0,6.3,1081.7,Uttar Pradesh,coriander,3.45
39.3,38.5,35.1,30.2,55.8,6.48,976.0,Uttar Pradesh,coriander,3.45
70.9,50.6,42.1,25.7,57.2,6.51,937.4,Uttar Pradesh,coriander,3.45
57.1,40.2,24.8,29.0,61.4,7.0,900.0,Uttar Pradesh,coriander,3.45
25.2,35.7,38.0,29.2,43.4,6.52,977.1,Uttar Pradesh,coriander,3.45
46.8,40.9,33.7,24.8,56.7,6.14,1002.5,Uttar Pradesh,coriander,3.45
45.3,29.2,57.7,29.9,45.1,6.12,936.4,Uttar Pradesh,coriander,3.45
66.5,22.1,51.6,29.5,63.9,7.18,967.8,Uttar Pradesh,coriander,3.45
69.0,58.7,51.0,24.5,65.1,6.17,975.6,Uttar Pradesh,coriander,3.45
69.5,23.4,38.8,27.8,56.5,6.66,1020.9,Uttar Pradesh,coriander,3.45
59.4,42.7,53.8,28.4,61.6,6.02,1000.7,Uttar Pradesh,drumstick,13.8
66.6,55.4,40.5,21.6,46.4,6.87,814.5,Uttar Pradesh,drumstick,13.8
68.7,41.4,38.3,26.7,53.1,6.49,812.3,Uttar Pradesh,drumstick,13.8
52.6,36.1,37.7,29.8,59.0,7.01,1130.7,Uttar Pradesh,drumstick,13.8
77.1,46.4,43.3,29.6,60.7,6.99,992.1,Uttar Pradesh,drumstick,13.8
52.8,50.8,40.9,26.7,56.2,6.58,1049.5,Uttar Pradesh,drumstick,13.8
77.8,44.2,46.0,30.8,58.8,5.94,1095.2,Uttar Pradesh,drumstick,13.8
49.4,31.7,22.0,28.7,47.0,6.12,988.2,Uttar Pradesh,drumstick,13.8
74.4,32.2,38.7,24.4,55.6,6.63,824.8,Uttar Pradesh,drumstick,13.8
55.1,22.4,51.3,28.5,66.3,7.15,776.2,Uttar Pradesh,drumstick,13.8
52.8,17.3,71.4,26.6,68.3,5.88,1049.5,Uttar Pradesh,sweet potato,17.25
97.2,39.3,29.9,26.6,42.2,6.48,1023.1,Uttar Pradesh,sweet potato,17.25
59.3,36.6,45.3,28.8,46.7,6.54,1265.4,Uttar Pradesh,sweet potato,17.25
33.3,39.0,59.4,30.3,55.9,6.6,899.7,Uttar Pradesh,sweet potato,17.25
45.0,39.1,37.2,27.3,54.0,5.86,893.8,Uttar Pradesh,sweet potato,17.25
94.3,41.0,36.7,29.3,58.7,7.43,899.4,Uttar Pradesh,sweet potato,17.25
74.0,30.9,45.0,27.8,59.5,6.25,804.3,Uttar Pradesh,sweet potato,17.25
65.6,47.5,38.7,27.9,59.7,6.55,869.9,Uttar Pradesh,sweet potato,17.25
60.4,72.4,43.1,28.9,63.5,6.37,1094.1,Uttar Pradesh,sweet potato,17.25
54.2,52.7,36.7,24.1,62.9,5.95,980.3,Uttar Pradesh,sweet potato,17.25
36.1,36.2,25.7,35.5,46.8,6.5,1071.5,Uttar Pradesh,tapioca,28.75
80.7,50.2,36.8,31.1,67.3,6.61,936.1,Uttar Pradesh,tapioca,28.75
53.9,29.1,52.4,30.9,52.9,6.42,878.5,Uttar Pradesh,tapioca,28.75
59.3,40.8,49.5,24.8,53.2,7.12,830.6,Uttar Pradesh,tapioca,28.75
34.7,34.2,36.7,31.7,67.4,7.07,1023.0,Uttar Pradesh,tapioca,28.75
78.9,31.7,38.0,24.0,58.3,6.84,920.2,Uttar Pradesh,tapioca,28.75
86.2,26.3,45.0,23.3,60.8,6.87,867.8,Uttar Pradesh,tapioca,28.75
71.0,28.5,23.4,28.7,74.0,6.0,1083.3,Uttar Pradesh,tapioca,28.75
60.9,24.0,28.7,27.0,56.8,5.84,645.9,Uttar Pradesh,tapioca,28.75
43.1,42.3,39.9,25.5,61.6,7.02,959.1,Uttar Pradesh,tapioca,28.75
78.2,54.3,35.4,25.3,60.4,5.88,517.0,Haryana,rice,3.95
48.9,64.1,35.6,30.8,62.3,6.78,506.7,Haryana,rice,3.95
83.1,51.5,51.6,28.3,59.1,6.26,340.9,Haryana,rice,3.95
87.8,55.8,61.2,26.9,55.9,5.65,736.3,Haryana,rice,3.95
53.1,41.6,42.8,25.8,62.3,6.57,217.7,Haryana,rice,3.95
80.2,22.7,52.3,24.3,44.7,6.09,494.5,Haryana,rice,3.95
97.9,47.0,48.4,29.5,61.2,6.88,682.6,Haryana,rice,3.95
60.7,59.7,30.8,28.8,49.9,6.8,859.3,Haryana,rice,3.95
76.8,42.4,51.1,25.0,76.5,6.6,532.0,Haryana,rice,3.95
71.9,35.7,38.7,24.9,58.1,6.17,894.8,Haryana,rice,3.95
64.5,46.5,50.9,27.9,61.5,6.68,647.7,Haryana,wheat,4.85
84.0,42.4,29.4,24.6,52.8,6.47,585.0,Haryana,wheat,4.85
85.4,62.8,39.6,28.3,64.4,7.45,666.4,Haryana,wheat,4.85
64.9,27.8,48.1,24.4,54.2,6.17,604.1,Haryana,wheat,4.85
102.6,40.9,50.9,25.7,51.7,7.17,415.8,Haryana,wheat,4.85
80.3,41.6,53.9,22.8,65.1,6.38,503.3,Haryana,wheat,4.85
25.5,65.9,50.5,23.7,53.0,6.55,687.5,Haryana,wheat,4.85
51.6,43.6,62.7,22.6,62.6,7.9,674.8,Haryana,wheat,4.85
81.9,50.1,41.0,29.9,58.8,5.82,521.3,Haryana,wheat,4.85
65.5,42.2,42.4,29.6,67.6,6.93,579.6,Haryana,wheat,4.85
64.1,23.2,46.1,28.4,61.1,6.23,649.7,Haryana,maize,3.85
78.8,61.9,57.3,28.9,68.1,5.85,679.4,Haryana,maize,3.85
85.6,51.1,49.9,27.4,83.6,6.46,720.5,Haryana,maize,3.85
72.9,52.9,54.4,27.1,75.4,6.06,506.9,Haryana,maize,3.85
83.2,53.8,46.8,29.9,56.7,5.93,626.2,Haryana,maize,3.85
78.8,50.4,44.7,25.0,61.4,6.51,534.3,Haryana,maize,3.85
77.0,41.0,53.6,26.6,80.1,6.58,497.4,Haryana,maize,3.85
120.1,49.1,54.9,27.8,67.0,6.77,414.7,Haryana,maize,3.85
85.5,31.8,43.3,23.8,64.9,6.67,652.2,Haryana,maize,3.85
84.3,38.9,42.4,28.8,70.5,5.93,350.4,Haryana,maize,3.85
19.2,55.5,44.7,23.2,64.5,8.12,642.3,Haryana,chickpea,1.35
36.4,55.0,27.7,25.4,62.3,7.25,717.4,Haryana,chickpea,1.35
28.3,15.6,24.5,19.4,63.4,7.32,622.5,Haryana,chickpea,1.35
17.3,51.7,40.7,22.2,50.3,7.2,848.8,Haryana,chickpea,1.35
38.6,50.6,29.2,28.7,58.4,6.82,258.4,Haryana,chickpea,1.35
25.8,38.7,35.8,19.1,63.4,5.98,743.2,Haryana,chickpea,1.35
29.2,42.2,39.5,23.1,62.6,7.6,200.0,Haryana,chickpea,1.35
21.4,44.8,33.4,30.4,53.0,6.89,292.6,Haryana,chickpea,1.35
37.1,42.5,31.5,25.8,67.1,7.37,977.2,Haryana,chickpea,1.35
28.6,40.3,30.5,24.8,50.0,7.22,697.5,Haryana,chickpea,1.35
47.7,30.3,55.2,21.7,45.5,5.92,348.9,Haryana,kidneybeans,1.08
67.7,35.7,37.8,29.5,56.5,6.89,806.7,Haryana,kidneybeans,1.08
50.9,48.8,37.6,28.8,49.4,5.68,521.3,Haryana,kidneybeans,1.08
42.2,33.8,37.8,28.2,58.7,6.09,527.3,Haryana,kidneybeans,1.08
44.6,28.8,23.9,26.2,57.5,6.98,362.9,Haryana,kidneybeans,1.08
49.2,61.8,30.6,25.3,52.3,5.83,812.1,Haryana,kidneybeans,1.08
63.4,41.6,23.0,27.1,71.3,7.07,680.2,Haryana,kidneybeans,1.08
37.4,43.8,46.7,20.6,53.0,6.94,711.4,Haryana,kidneybeans,1.08
29.0,49.5,41.0,28.3,56.9,6.82,706.6,Haryana,kidneybeans,1.08
53.0,40.2,33.5,31.0,61.0,6.04,472.6,Haryana,kidneybeans,1.08
62.5,49.0,26.6,31.5,64.5,6.73,565.4,Haryana,pigeonpeas,1.08
60.4,38.2,50.2,26.0,68.1,6.28,609.3,Haryana,pigeonpeas,1.08
43.9,54.6,31.7,25.0,59.5,6.32,688.4,Haryana,pigeonpeas,1.08
53.7,56.7,31.8,26.5,55.8,6.71,577.6,Haryana,pigeonpeas,1.08
56.9,54.3,33.5,27.8,55.8,6.56,400.7,Haryana,pigeonpeas,1.08
46.7,39.0,58.1,26.3,75.2,6.61,521.9,Haryana,pigeonpeas,1.08
90.8,45.2,33.6,27.4,59.7,5.51,720.4,Haryana,pigeonpeas,1.08
81.9,62.1,44.2,25.3,68.7,6.92,825.7,Haryana,pigeonpeas,1.08
59.1,38.0,32.8,27.6,49.6,6.89,668.2,Haryana,pigeonpeas,1.08
71.7,41.7,55.3,28.6,57.1,6.21,448.0,Haryana,pigeonpeas,1.08
71.0,28.0,50.8,30.0,55.0,6.41,582.5,Haryana,mothbeans,0.54
77.7,59.3,23.1,25.0,59.9,5.8,507.2,Haryana,mothbeans,0.54
68.6,36.7,24.6,34.6,64.1,6.56,415.3,Haryana,mothbeans,0.54
65.2,38.0,21.1,22.8,68.4,7.47,635.1,Haryana,mothbeans,0.54
82.1,38.1,39.1,29.3,75.3,7.15,420.0,Haryana,mothbeans,0.54
58.7,43.3,37.4,27.2,68.6,7.0,832.9,Haryana,mothbeans,0.54
53.4,23.6,43.6,31.7,58.2,6.84,684.4,Haryana,mothbeans,0.54
63.8,40.1,30.8,19.2,53.1,6.3,744.6,Haryana,mothbeans,0.54
57.9,33.8,31.1,28.0,72.9,7.03,670.9,Haryana,mothbeans,0.54
30.5,35.8,59.5,29.4,49.7,6.47,634.5,Haryana,mothbeans,0.54
18.9,21.9,35.8,23.6,55.7,6.32,559.9,Haryana,mungbean,0.94
24.9,36.2,33.2,20.7,64.5,5.07,536.6,Haryana,mungbean,0.94
32.4,34.4,40.7,29.5,35.5,6.42,200.0,Haryana,mungbean,0.94
24.1,44.9,15.1,31.8,64.3,6.08,799.8,Haryana,mungbean,0.94
10.6,32.7,16.6,31.4,64.7,6.83,625.2,Haryana,mungbean,0.94
29.6,45.8,37.2,26.3,57.1,6.48,621.0,Haryana,mungbean,0.94
25.9,30.2,24.2,29.2,59.5,6.79,416.2,Haryana,mungbean,0.94
13.2,36.6,33.2,24.0,72.4,6.59,857.3,Haryana,mungbean,0.94
28.2,20.9,43.4,21.5,63.8,6.11,901.4,Haryana,mungbean,0.94
36.5,37.6,34.0,26.7,68.9,6.51,426.3,Haryana,mungbean,0.94
45.6,39.9,52.3,27.3,55.8,6.82,522.0,Haryana,blackgram,0.81
77.8,70.3,36.4,28.4,56.0,6.44,584.4,Haryana,blackgram,0.81
56.1,69.6,36.9,27.8,46.6,6.72,751.3,Haryana,blackgram,0.81
49.4,9.9,39.6,26.1,67.8,7.51,523.0,Haryana,blackgram,0.81
42.9,26.0,42.0,27.4,57.6,6.89,649.8,Haryana,blackgram,0.81
60.9,29.2,35.2,18.7,63.9,6.51,608.3,Haryana,blackgram,0.81
70.1,44.6,38.9,26.1,50.8,6.21,587.6,Haryana,blackgram,0.81
45.3,50.3,33.4,26.6,62.9,6.87,715.1,Haryana,blackgram,0.81
73.9,14.7,51.9,30.6,58.1,6.62,446.4,Haryana,blackgram,0.81
21.0,31.1,34.6,24.9,54.3,6.13,578.3,Haryana,blackgram,0.81
18.8,50.4,40.5,33.1,71.0,6.62,487.0,Haryana,lentil,1.08
27.3,48.3,30.9,28.4,50.8,6.38,663.4,Haryana,lentil,1.08
22.7,42.9,33.9,23.5,71.4,5.99,627.7,Haryana,lentil,1.08
28.3,35.5,35.6,23.3,73.1,5.93,481.9,Haryana,lentil,1.08
15.2,31.4,47.7,27.6,63.1,6.17,716.1,Haryana,lentil,1.08
18.4,52.9,28.0,24.1,68.1,6.93,669.6,Haryana,lentil,1.08
16.6,40.5,36.3,23.5,73.0,5.3,463.2,Haryana,lentil,1.08
20.9,16.6,23.8,27.9,62.2,7.29,811.8,Haryana,lentil,1.08
28.5,48.1,35.5,18.0,50.8,6.55,672.4,Haryana,lentil,1.08
27.3,36.1,42.5,30.4,69.5,6.99,496.1,Haryana,lentil,1.08
81.5,41.7,45.1,27.1,61.0,6.07,567.7,Haryana,pomegranate,13.5
79.7,34.7,48.9,28.2,59.6,7.19,526.7,Haryana,pomegranate,13.5
90.2,45.2,39.8,23.3,61.3,6.4,391.3,Haryana,pomegranate,13.5
55.6,30.4,45.9,29.9,52.2,7.36,560.7,Haryana,pomegranate,13.5
40.5,49.1,35.5,25.8,58.8,6.09,688.6,Haryana,pomegranate,13.5
54.3,22.8,45.5,22.4,52.8,7.1,400.5,Haryana,pomegranate,13.5
13.7,47.5,37.0,25.3,59.5,6.62,467.1,Haryana,pomegranate,13.5
89.5,22.3,44.4,27.9,55.9,5.99,732.6,Haryana,pomegranate,13.5
40.2,32.7,48.9,26.1,47.6,7.37,500.5,Haryana,pomegranate,13.5
51.9,43.1,46.3,31.9,48.7,6.91,691.5,Haryana,pomegranate,13.5
57.3,49.4,49.3,21.9,76.0,5.72,409.7,Haryana,banana,47.25
54.8,63.1,36.9,25.9,73.5,6.35,403.2,Haryana,banana,47.25
51.7,56.4,40.7,31.8,67.9,6.18,587.7,Haryana,banana,47.25
42.9,32.0,84.8,29.1,68.9,6.19,815.4,Haryana,banana,47.25
82.0,62.6,58.3,21.6,53.1,6.0,438.4,Haryana,banana,47.25
66.5,33.2,60.7,31.7,61.9,7.48,803.2,Haryana,banana,47.25
51.0,15.9,37.8,24.1,63.7,6.54,589.5,Haryana,banana,47.25
70.5,25.4,44.1,24.7,63.6,6.98,396.3,Haryana,banana,47.25
54.4,38.6,34.9,28.7,56.2,6.22,473.5,Haryana,banana,47.25
81.8,34.1,44.6,31.9,61.4,7.06,830.7,Haryana,banana,47.25
80.5,39.8,46.4,22.1,55.8,6.2,916.1,Haryana,mango,10.8
43.7,30.1,29.6,27.7,63.1,7.04,680.7,Haryana,mango,10.8
32.4,30.3,53.7,25.4,71.5,6.43,434.9,Haryana,mango,10.8
53.9,28.4,34.3,26.6,66.1,5.7,577.4,Haryana,mango,10.8
48.3,32.2,41.3,24.3,73.1,7.09,757.3,Haryana,mango,10.8
50.1,28.5,40.8,25.5,57.1,5.91,573.8,Haryana,mango,10.8
51.9,48.3,46.7,29.3,51.9,6.7,470.9,Haryana,mango,10.8
35.6,34.9,50.7,24.9,74.5,6.77,520.9,Haryana,mango,10.8
83.2,45.3,30.7,31.6,64.1,6.51,451.7,Haryana,mango,10.8
83.6,46.2,46.3,24.5,68.7,6.96,479.7,Haryana,mango,10.8
31.7,47.0,24.3,26.5,58.4,7.11,521.1,Haryana,grapes,27.0
82.1,33.8,50.0,32.2,53.5,6.65,992.3,Haryana,grapes,27.0
61.3,40.7,47.9,26.1,48.3,7.07,279.6,Haryana,grapes,27.0
51.7,54.5,36.4,23.9,69.0,6.07,396.7,Haryana,grapes,27.0
65.5,37.8,27.6,27.9,65.7,6.32,536.3,Haryana,grapes,27.0
69.4,54.3,37.2,28.0,66.5,6.94,585.9,Haryana,grapes,27.0
41.8,34.5,43.4,31.5,58.1,6.9,530.8,Haryana,grapes,27.0
62.2,58.2,47.6,22.3,57.4,7.13,601.3,Haryana,grapes,27.0
37.0,30.2,47.0,29.0,62.1,7.74,703.6,Haryana,grapes,27.0
55.1,30.2,30.3,27.0,58.1,7.34,799.9,Haryana,grapes,27.0
72.7,25.9,33.3,29.8,57.5,7.06,651.2,Haryana,watermelon,33.75
61.0,31.6,39.1,26.6,70.3,6.06,540.6,Haryana,watermelon,33.75
60.9,48.0,30.9,22.1,67.4,5.74,772.7,Haryana,watermelon,33.75
56.9,21.4,35.2,27.1,57.7,6.51,691.0,Haryana,watermelon,33.75
56.0,28.8,37.0,30.2,75.5,5.49,743.7,Haryana,watermelon,33.75
65.0,51.1,34.5,20.7,66.7,6.03,371.8,Haryana,watermelon,33.75
33.6,47.2,41.4,28.3,67.4,6.29,569.4,Haryana,watermelon,33.75
49.8,37.5,30.3,27.2,70.6,6.09,772.2,Haryana,watermelon,33.75
62.3,42.9,23.0,20.6,63.2,6.89,479.3,Haryana,watermelon,33.75
93.4,48.8,30.9,26.1,81.8,5.88,659.2,Haryana,watermelon,33.75
53.5,48.5,52.7,24.8,71.0,7.61,589.9,Haryana,muskmelon,16.2
75.7,32.9,40.2,25.5,68.4,7.1,563.6,Haryana,muskmelon,16.2
90.7,58.4,48.5,24.5,57.1,6.09,722.4,Haryana,muskmelon,16.2
35.8,48.1,29.2,28.5,62.1,7.17,751.2,Haryana,muskmelon,16.2
88.7,57.5,41.4,22.5,53.6,5.46,417.5,Haryana,muskmelon,16.2
61.4,33.3,38.2,27.5,59.6,5.94,572.0,Haryana,muskmelon,16.2
42.0,36.8,53.4,25.2,76.2,7.22,493.1,Haryana,muskmelon,16.2
37.8,39.4,51.5,24.5,69.3,7.1,463.9,Haryana,muskmelon,16.2
46.5,48.6,41.5,23.9,59.2,6.46,345.3,Haryana,muskmelon,16.2
75.3,34.3,12.2,25.9,56.1,7.34,492.2,Haryana,muskmelon,16.2
38.0,46.1,33.4,23.7,66.1,5.98,361.4,Haryana,apple,16.2
94.5,47.0,37.4,26.0,66.0,6.99,466.6,Haryana,apple,16.2
67.3,33.9,38.1,26.5,61.9,6.87,653.1,Haryana,apple,16.2
29.8,23.7,36.3,31.5,55.2,6.4,499.5,Haryana,apple,16.2
48.9,42.1,54.0,27.4,55.6,7.88,591.8,Haryana,apple,16.2
48.5,56.9,35.3,31.0,55.0,7.22,610.2,Haryana,apple,16.2
85.8,62.8,28.7,29.8,50.7,5.98,459.5,Haryana,apple,16.2
70.1,40.4,38.3,26.4,66.7,6.83,744.1,Haryana,apple,16.2
96.4,39.7,34.8,27.8,52.8,6.16,729.9,Haryana,apple,16.2
57.5,25.5,25.1,26.1,71.1,7.06,596.6,Haryana,apple,16.2
100.2,38.7,38.6,18.3,58.4,6.93,814.6,Haryana,orange,13.5
43.4,45.5,50.5,26.0,43.7,6.62,694.2,Haryana,orange,13.5
41.1,37.0,28.4,18.3,70.2,6.5,819.7,Haryana,orange,13.5
77.1,35.7,39.2,27.7,69.7,6.66,745.8,Haryana,orange,13.5
54.1,28.0,39.4,26.6,52.4,5.83,647.1,Haryana,orange,13.5
51.9,38.0,36.4,30.6,72.1,5.88,500.1,Haryana,orange,13.5
77.0,47.2,39.6,22.6,56.5,6.24,621.5,Haryana,orange,13.5
94.1,31.8,29.7,25.7,70.3,5.78,798.0,Haryana,orange,13.5
56.6,31.2,24.0,28.1,60.6,6.59,444.9,Haryana,orange,13.5
53.6,34.2,39.0,24.0,49.7,7.86,375.5,Haryana,orange,13.5
63.6,18.7,20.0,26.3,63.4,7.13,639.9,Haryana,papaya,54.0
57.0,28.6,55.0,28.8,52.0,6.52,601.6,Haryana,papaya,54.0
53.1,49.3,48.3,25.4,59.8,7.25,719.9,Haryana,papaya,54.0
61.4,20.4,43.4,28.1,40.0,6.63,517.5,Haryana,papaya,54.0
55.6,29.1,38.5,30.2,58.4,6.98,459.1,Haryana,papaya,54.0
75.2,40.0,43.5,26.0,67.1,5.22,367.0,Haryana,papaya,54.0
68.3,15.5,34.7,25.8,55.4,6.15,620.7,Haryana,papaya,54.0
80.2,28.5,34.2,23.8,42.6,6.57,720.2,Haryana,papaya,54.0
80.3,29.6,27.5,26.1,68.6,6.58,623.4,Haryana,papaya,54.0
82.8,31.1,37.8,30.9,60.4,5.87,479.6,Haryana,papaya,54.0
41.2,44.3,31.0,26.8,56.1,5.44,626.0,Haryana,coconut,13.5
63.0,46.2,33.3,23.7,65.2,7.26,581.7,Haryana,coconut,13.5
68.5,36.1,24.6,28.9,69.3,6.86,552.7,Haryana,coconut,13.5
71.9,50.7,56.2,29.0,62.5,5.85,603.3,Haryana,coconut,13.5
65.1,48.5,53.5,25.7,78.8,5.62,642.9,Haryana,coconut,13.5
44.0,17.1,38.0,21.6,60.7,6.52,747.8,Haryana,coconut,13.5
29.8,50.9,41.0,29.1,58.5,5.83,397.4,Haryana,coconut,13.5
34.2,45.7,54.8,24.3,67.0,5.74,607.0,Haryana,coconut,13.5
73.4,22.6,38.0,28.1,38.5,7.17,633.1,Haryana,coconut,13.5
74.3,35.0,22.8,27.6,61.3,6.52,743.1,Haryana,coconut,13.5
75.2,63.1,41.5,23.9,60.5,7.21,732.4,Haryana,cotton,2.25
30.7,40.1,56.1,25.3,69.4,7.25,723.4,Haryana,cotton,2.25
43.8,30.3,40.2,21.4,59.8,7.13,847.7,Haryana,cotton,2.25
68.1,47.5,51.6,23.1,60.7,8.21,568.1,Haryana,cotton,2.25
82.3,51.6,25.2,26.9,63.2,7.16,466.9,Haryana,cotton,2.25
37.7,34.3,39.0,29.6,76.5,7.7,709.0,Haryana,cotton,2.25
39.9,35.1,42.1,24.1,66.6,7.36,660.4,Haryana,cotton,2.25
80.5,29.1,49.3,23.9,54.5,7.27,762.4,Haryana,cotton,2.25
69.8,40.2,43.1,26.4,53.0,6.38,568.2,Haryana,cotton,2.25
61.6,40.1,46.8,25.4,66.5,6.93,853.5,Haryana,cotton,2.25
61.6,68.1,43.5,25.4,54.8,5.78,431.3,Haryana,jute,2.97
42.4,44.7,34.7,26.6,72.3,6.46,891.9,Haryana,jute,2.97
36.5,38.2,34.6,28.8,44.1,5.78,563.9,Haryana,jute,2.97
91.0,42.7,26.5,22.4,75.4,6.19,438.6,Haryana,jute,2.97
89.5,52.1,52.7,23.1,49.8,6.57,630.3,Haryana,jute,2.97
67.3,57.7,22.7,28.6,53.2,6.93,508.8,Haryana,jute,2.97
43.7,32.7,25.5,26.1,55.8,6.89,676.0,Haryana,jute,2.97
93.8,44.4,45.2,30.2,57.0,5.76,610.0,Haryana,jute,2.97
31.5,69.4,54.6,32.5,62.5,6.78,511.1,Haryana,jute,2.97
77.7,25.4,14.6,23.6,50.4,7.24,852.4,Haryana,jute,2.97
31.9,55.5,49.5,21.3,58.9,6.21,692.2,Haryana,coffee,1.08
35.4,38.8,33.1,27.4,60.3,6.23,548.0,Haryana,coffee,1.08
100.7,35.0,29.6,27.8,60.9,5.79,914.7,Haryana,coffee,1.08
53.0,35.5,41.6,31.2,48.6,6.64,893.1,Haryana,coffee,1.08
62.6,25.2,33.8,26.6,72.6,6.33,704.0,Haryana,coffee,1.08
31.3,22.7,35.2,30.3,62.6,6.64,621.7,Haryana,coffee,1.08
82.2,32.7,46.9,23.5,77.9,6.1,447.6,Haryana,coffee,1.08
71.0,41.0,43.3,26.7,53.3,7.31,714.0,Haryana,coffee,1.08
87.2,33.7,44.2,26.6,71.0,7.08,609.0,Haryana,coffee,1.08
29.6,61.4,45.6,24.2,65.3,5.74,738.3,Haryana,coffee,1.08
30.6,37.3,42.4,29.1,62.9,6.82,575.8,Haryana,tea,2.03
59.4,41.0,38.1,20.9,55.9,6.62,542.6,Haryana,tea,2.03
56.9,36.1,31.4,24.5,59.5,6.5,639.0,Haryana,tea,2.03
56.4,27.6,26.0,33.8,53.0,6.24,657.6,Haryana,tea,2.03
67.2,46.3,35.6,26.7,62.5,6.34,616.8,Haryana,tea,2.03
81.1,39.7,39.8,29.2,69.7,7.29,316.6,Haryana,tea,2.03
78.1,47.2,31.1,26.8,70.4,6.09,646.4,Haryana,tea,2.03
77.4,27.1,38.6,26.9,55.6,6.06,559.7,Haryana,tea,2.03
76.0,47.7,31.4,28.0,55.3,5.69,524.9,Haryana,tea,2.03
82.5,47.9,40.0,24.7,58.9,6.55,419.7,Haryana,tea,2.03
53.0,37.4,26.5,23.5,65.3,6.8,533.7,Haryana,mustard,1.95
41.8,58.9,31.6,26.8,58.1,6.82,648.6,Haryana,mustard,1.95
32.6,39.9,51.9,31.3,61.0,6.82,911.7,Haryana,mustard,1.95
82.7,32.6,33.8,28.9,53.9,7.34,630.1,Haryana,mustard,1.95
70.4,36.9,33.7,30.4,60.0,6.59,568.0,Haryana,mustard,1.95
63.9,27.6,34.4,24.1,68.8,6.36,316.6,Haryana,mustard,1.95
20.7,22.4,53.6,26.0,66.0,7.07,588.4,Haryana,mustard,1.95
58.5,52.5,41.5,30.2,67.0,6.49,505.4,Haryana,mustard,1.95
45.5,54.6,35.9,23.6,64.6,6.75,624.2,Haryana,mustard,1.95
97.8,51.0,40.3,21.8,58.0,7.16,404.3,Haryana,mustard,1.95
102.8,40.2,40.5,24.0,66.0,5.92,904.7,Haryana,tomato,33.75
86.3,51.8,26.1,26.6,71.7,6.8,429.7,Haryana,tomato,33.75
47.0,34.6,34.0,30.6,46.6,6.83,386.2,Haryana,tomato,33.75
40.8,15.9,34.5,30.5,64.1,5.9,732.6,Haryana,tomato,33.75
84.6,41.2,60.3,28.5,67.5,6.1,674.1,Haryana,tomato,33.75
64.3,46.2,33.2,26.4,55.5,5.43,729.7,Haryana,tomato,33.75
30.0,41.3,43.3,27.0,59.7,6.64,650.6,Haryana,tomato,33.75
74.7,60.8,42.3,26.2,54.7,6.72,680.1,Haryana,tomato,33.75
56.2,46.5,37.1,28.0,69.3,6.95,597.7,Haryana,tomato,33.75
39.2,32.7,46.0,33.3,59.3,6.73,496.6,Haryana,tomato,33.75
40.5,31.9,19.2,30.1,44.2,6.37,403.3,Haryana,onion,20.25
42.3,56.5,42.0,23.1,57.3,6.12,573.5,Haryana,onion,20.25
63.5,62.7,20.8,25.9,59.5,6.97,633.2,Haryana,onion,20.25
71.8,44.1,30.7,29.6,68.4,6.96,769.6,Haryana,onion,20.25
68.4,57.8,43.8,25.3,61.9,6.49,502.1,Haryana,onion,20.25
92.6,43.6,40.9,27.2,85.8,5.93,453.2,Haryana,onion,20.25
32.4,37.2,42.5,24.6,57.7,6.57,504.7,Haryana,onion,20.25
66.2,53.4,46.8,28.6,70.7,6.64,556.2,Haryana,onion,20.25
44.6,35.3,34.8,28.2,64.8,6.85,405.9,Haryana,onion,20.25
88.6,34.9,29.0,24.7,81.9,6.31,531.2,Haryana,onion,20.25
56.2,38.2,32.2,26.4,70.6,5.96,413.3,Haryana,potato,27.0
53.1,33.4,40.5,30.0,60.8,5.76,846.6,Haryana,potato,27.0
77.5,46.9,59.6,27.5,46.1,6.22,341.2,Haryana,potato,27.0
69.0,19.4,35.3,24.9,55.8,5.63,734.9,Haryana,potato,27.0
45.7,46.5,30.3,25.4,64.6,5.3,383.2,Haryana,potato,27.0
69.8,53.5,39.2,24.6,63.2,5.83,616.4,Haryana,potato,27.0
9.4,27.2,31.5,26.5,63.5,6.12,618.6,Haryana,potato,27.0
34.0,57.4,52.7,22.2,64.7,5.5,600.8,Haryana,potato,27.0
81.1,65.6,47.5,26.9,59.3,5.89,784.0,Haryana,potato,27.0
59.1,29.4,23.8,27.5,64.0,5.48,733.9,Haryana,potato,27.0
51.6,38.4,39.8,24.9,63.9,7.08,408.6,Haryana,brinjal,27.0
69.8,42.1,41.5,28.6,62.4,6.74,687.4,Haryana,brinjal,27.0
49.9,43.6,37.5,25.6,59.4,6.74,592.2,Haryana,brinjal,27.0
67.9,39.8,24.0,26.1,62.5,6.62,490.9,Haryana,brinjal,27.0
36.1,47.5,37.3,26.5,59.7,6.5,512.6,Haryana,brinjal,27.0
40.6,45.7,34.0,26.5,65.3,6.21,399.4,Haryana,brinjal,27.0
108.5,33.7,46.2,31.8,68.3,6.35,569.9,Haryana,brinjal,27.0
